date,cash,n_stocks,invested,annual_pnl,portfolio,total_value,return,cumulative_return,peak,drawdown,year,cash_ratio,value_change
2017-01-06,10000000.0,0,0.0,0.0,{},10000000.0,,,10000000.0,0.0,2017,1.0,
2017-01-13,883600.0,20,9116400.0,0.0,"{'99720': {'shares': 2200, 'buy_price': 227.0}, '80950': {'shares': 1900, 'buy_price': 252.0}, '97200': {'shares': 100, 'buy_price': 3160.0}, '24080': {'shares': 900, 'buy_price': 540.0}, '64920': {'shares': 1600, 'buy_price': 304.0}, '96470': {'shares': 2900, 'buy_price': 168.0}, '49920': {'shares': 1100, 'buy_price': 439.0}, '93130': {'shares': 500, 'buy_price': 880.0}, '46730': {'shares': 1000, 'buy_price': 473.0}, '31390': {'shares': 200, 'buy_price': 1699.0}, '59420': {'shares': 800, 'buy_price': 583.0}, '75940': {'shares': 300, 'buy_price': 1619.0}, '27340': {'shares': 700, 'buy_price': 651.0}, '32010': {'shares': 500, 'buy_price': 863.0}, '41870': {'shares': 500, 'buy_price': 970.0}, '32440': {'shares': 400, 'buy_price': 1142.0}, '33770': {'shares': 2200, 'buy_price': 218.0}, '98370': {'shares': 500, 'buy_price': 932.0}, '93690': {'shares': 200, 'buy_price': 2396.0}, '89230': {'shares': 500, 'buy_price': 842.0}}",10000000.0,0.0,0.0,10000000.0,0.0,2017,0.08836,0.0
2017-01-20,928000.0,20,8687500.0,88500.0,"{'75010': {'shares': 900, 'buy_price': 489.0}, '99720': {'shares': 2200, 'buy_price': 211.0}, '97200': {'shares': 100, 'buy_price': 3155.0}, '80950': {'shares': 1800, 'buy_price': 266.0}, '64920': {'shares': 1500, 'buy_price': 304.0}, '96470': {'shares': 2900, 'buy_price': 162.0}, '78790': {'shares': 600, 'buy_price': 708.0}, '93130': {'shares': 500, 'buy_price': 871.0}, '49920': {'shares': 1000, 'buy_price': 453.0}, '24080': {'shares': 600, 'buy_price': 699.0}, '79970': {'shares': 2600, 'buy_price': 183.0}, '59420': {'shares': 800, 'buy_price': 577.0}, '41870': {'shares': 500, 'buy_price': 911.0}, '75940': {'shares': 200, 'buy_price': 1619.0}, '27340': {'shares': 700, 'buy_price': 646.0}, '31390': {'shares': 200, 'buy_price': 1812.0}, '32010': {'shares': 500, 'buy_price': 884.0}, '32440': {'shares': 400, 'buy_price': 1149.0}, '98370': {'shares': 500, 'buy_price': 871.0}, '33770': {'shares': 2100, 'buy_price': 220.0}}",9615500.0,-0.038449999999999984,-0.038449999999999984,10000000.0,-0.03845,2017,0.09651084186989756,-384500.0
2017-01-27,739000.0,20,8677500.0,325000.0,"{'75010': {'shares': 900, 'buy_price': 489.0}, '99720': {'shares': 2100, 'buy_price': 216.0}, '97200': {'shares': 100, 'buy_price': 3165.0}, '64920': {'shares': 1500, 'buy_price': 307.0}, '80950': {'shares': 1600, 'buy_price': 285.0}, '96470': {'shares': 2800, 'buy_price': 168.0}, '78790': {'shares': 600, 'buy_price': 729.0}, '68580': {'shares': 500, 'buy_price': 866.0}, '24080': {'shares': 600, 'buy_price': 692.0}, '46730': {'shares': 900, 'buy_price': 472.0}, '49920': {'shares': 900, 'buy_price': 487.0}, '27340': {'shares': 700, 'buy_price': 628.0}, '59420': {'shares': 800, 'buy_price': 578.0}, '79970': {'shares': 2300, 'buy_price': 199.0}, '41870': {'shares': 500, 'buy_price': 918.0}, '32010': {'shares': 500, 'buy_price': 898.0}, '75940': {'shares': 200, 'buy_price': 1734.0}, '31390': {'shares': 200, 'buy_price': 1952.0}, '32440': {'shares': 400, 'buy_price': 1162.0}, '33770': {'shares': 2100, 'buy_price': 220.0}}",9416500.0,-0.020695751650980143,-0.0583499999999999,10000000.0,-0.05835,2017,0.07847926511973663,-199000.0
2017-02-03,535300.0,20,8775100.0,218900.0,"{'75010': {'shares': 900, 'buy_price': 485.0}, '58160': {'shares': 1000, 'buy_price': 444.0}, '99720': {'shares': 2200, 'buy_price': 209.0}, '97200': {'shares': 100, 'buy_price': 3085.0}, '41070': {'shares': 900, 'buy_price': 482.0}, '64920': {'shares': 1500, 'buy_price': 306.0}, '80950': {'shares': 1600, 'buy_price': 289.0}, '96470': {'shares': 2700, 'buy_price': 172.0}, '78790': {'shares': 600, 'buy_price': 708.0}, '25730': {'shares': 700, 'buy_price': 653.0}, '52140': {'shares': 700, 'buy_price': 654.0}, '93130': {'shares': 500, 'buy_price': 883.0}, '46730': {'shares': 1000, 'buy_price': 456.0}, '68580': {'shares': 500, 'buy_price': 862.0}, '49920': {'shares': 900, 'buy_price': 468.0}, '24080': {'shares': 600, 'buy_price': 702.0}, '50080': {'shares': 3300, 'buy_price': 141.0}, '79970': {'shares': 2400, 'buy_price': 187.0}, '27340': {'shares': 700, 'buy_price': 612.0}, '59420': {'shares': 800, 'buy_price': 567.0}}",9310400.0,-0.01126745606116919,-0.06895999999999991,10000000.0,-0.06896,2017,0.057494844474995706,-106100.0
2017-02-10,726600.0,20,8222000.0,313100.0,"{'75010': {'shares': 900, 'buy_price': 489.0}, '98270': {'shares': 3300, 'buy_price': 134.0}, '39470': {'shares': 1600, 'buy_price': 271.0}, '80290': {'shares': 2400, 'buy_price': 185.0}, '39480': {'shares': 1000, 'buy_price': 440.0}, '58160': {'shares': 1000, 'buy_price': 435.0}, '74220': {'shares': 900, 'buy_price': 469.0}, '18970': {'shares': 700, 'buy_price': 574.0}, '99720': {'shares': 2000, 'buy_price': 214.0}, '97680': {'shares': 400, 'buy_price': 924.0}, '97200': {'shares': 100, 'buy_price': 3000.0}, '41070': {'shares': 900, 'buy_price': 479.0}, '79890': {'shares': 400, 'buy_price': 898.0}, '59970': {'shares': 700, 'buy_price': 605.0}, '66400': {'shares': 200, 'buy_price': 1540.0}, '64920': {'shares': 1400, 'buy_price': 306.0}, '20090': {'shares': 500, 'buy_price': 790.0}, '44040': {'shares': 3200, 'buy_price': 139.0}, '96470': {'shares': 2600, 'buy_price': 172.0}, '78790': {'shares': 600, 'buy_price': 714.0}}",8948600.0,-0.03885976971988314,-0.1051399999999999,10000000.0,-0.10514,2017,0.08119705875779451,-361800.0
2017-02-17,319600.0,20,8789800.0,473900.0,"{'75010': {'shares': 900, 'buy_price': 489.0}, '98270': {'shares': 3300, 'buy_price': 134.0}, '79570': {'shares': 2600, 'buy_price': 174.0}, '19870': {'shares': 1500, 'buy_price': 295.0}, '73140': {'shares': 900, 'buy_price': 500.0}, '80400': {'shares': 2200, 'buy_price': 200.0}, '39470': {'shares': 1600, 'buy_price': 271.0}, '39480': {'shares': 1000, 'buy_price': 443.0}, '74250': {'shares': 1700, 'buy_price': 257.0}, '58160': {'shares': 1000, 'buy_price': 443.0}, '53950': {'shares': 2200, 'buy_price': 202.0}, '96560': {'shares': 1100, 'buy_price': 397.0}, '80290': {'shares': 2300, 'buy_price': 197.0}, '74220': {'shares': 900, 'buy_price': 475.0}, '26930': {'shares': 2300, 'buy_price': 198.0}, '32040': {'shares': 800, 'buy_price': 547.0}, '99720': {'shares': 2100, 'buy_price': 216.0}, '80110': {'shares': 2600, 'buy_price': 172.0}, '97680': {'shares': 400, 'buy_price': 924.0}, '18970': {'shares': 700, 'buy_price': 630.0}}",9109400.0,0.017969291285787614,-0.08906000000000003,10000000.0,-0.08906,2017,0.03508463784661998,160800.0
2017-02-24,507500.0,20,8266100.0,565600.0,"{'75010': {'shares': 800, 'buy_price': 492.0}, '98270': {'shares': 3100, 'buy_price': 138.0}, '79570': {'shares': 2500, 'buy_price': 172.0}, '19870': {'shares': 1400, 'buy_price': 297.0}, '73140': {'shares': 800, 'buy_price': 509.0}, '80400': {'shares': 2100, 'buy_price': 200.0}, '39470': {'shares': 1500, 'buy_price': 276.0}, '39480': {'shares': 900, 'buy_price': 449.0}, '58160': {'shares': 900, 'buy_price': 442.0}, '53950': {'shares': 2100, 'buy_price': 201.0}, '74250': {'shares': 1600, 'buy_price': 262.0}, '96560': {'shares': 1000, 'buy_price': 400.0}, '95390': {'shares': 800, 'buy_price': 490.0}, '80290': {'shares': 2100, 'buy_price': 207.0}, '26930': {'shares': 2200, 'buy_price': 197.0}, '32040': {'shares': 800, 'buy_price': 542.0}, '99720': {'shares': 2000, 'buy_price': 218.0}, '80110': {'shares': 2400, 'buy_price': 180.0}, '97680': {'shares': 400, 'buy_price': 931.0}, '18970': {'shares': 600, 'buy_price': 634.0}}",8773600.0,-0.036863020616066944,-0.12264000000000008,10000000.0,-0.12264,2017,0.057843986504969455,-335800.0
2017-03-03,406400.0,20,8476600.0,675000.0,"{'75010': {'shares': 900, 'buy_price': 487.0}, '98270': {'shares': 3100, 'buy_price': 139.0}, '79570': {'shares': 2600, 'buy_price': 170.0}, '19870': {'shares': 1500, 'buy_price': 296.0}, '73140': {'shares': 800, 'buy_price': 508.0}, '80400': {'shares': 2200, 'buy_price': 200.0}, '39470': {'shares': 1500, 'buy_price': 285.0}, '39480': {'shares': 900, 'buy_price': 452.0}, '58160': {'shares': 900, 'buy_price': 445.0}, '53950': {'shares': 2200, 'buy_price': 201.0}, '74250': {'shares': 1600, 'buy_price': 263.0}, '96560': {'shares': 1100, 'buy_price': 397.0}, '95390': {'shares': 900, 'buy_price': 488.0}, '26930': {'shares': 2200, 'buy_price': 196.0}, '32040': {'shares': 800, 'buy_price': 542.0}, '99720': {'shares': 2000, 'buy_price': 221.0}, '80290': {'shares': 1900, 'buy_price': 231.0}, '80110': {'shares': 2400, 'buy_price': 179.0}, '18970': {'shares': 700, 'buy_price': 627.0}, '97200': {'shares': 100, 'buy_price': 2871.0}}",8883000.0,0.01246922585939636,-0.11170000000000013,10000000.0,-0.1117,2017,0.045750309580096814,109400.0
2017-03-10,414000.0,20,8552400.0,758400.0,"{'75010': {'shares': 900, 'buy_price': 489.0}, '98270': {'shares': 3200, 'buy_price': 139.0}, '79570': {'shares': 2500, 'buy_price': 174.0}, '19870': {'shares': 1400, 'buy_price': 304.0}, '73140': {'shares': 800, 'buy_price': 519.0}, '80400': {'shares': 2100, 'buy_price': 207.0}, '39470': {'shares': 1500, 'buy_price': 290.0}, '58160': {'shares': 1000, 'buy_price': 448.0}, '39480': {'shares': 900, 'buy_price': 457.0}, '74250': {'shares': 1700, 'buy_price': 263.0}, '53950': {'shares': 2100, 'buy_price': 204.0}, '96560': {'shares': 1100, 'buy_price': 405.0}, '95390': {'shares': 900, 'buy_price': 483.0}, '74220': {'shares': 900, 'buy_price': 468.0}, '26930': {'shares': 2300, 'buy_price': 194.0}, '32040': {'shares': 800, 'buy_price': 550.0}, '99720': {'shares': 2000, 'buy_price': 219.0}, '80290': {'shares': 1900, 'buy_price': 226.0}, '80110': {'shares': 2500, 'buy_price': 177.0}, '97200': {'shares': 100, 'buy_price': 2897.0}}",8966400.0,0.00938872002701796,-0.10336000000000012,10000000.0,-0.10336,2017,0.04617237687366167,83400.0
