year,pnl_yen,tax_yen,tax_rate_eff
2016,4765722.807712721,968156.5883868393,20.315
2017,11130472.147768306,2261155.4168191315,20.315
2018,-1786796.592235047,0.0,0.0
2019,10430647.23404894,2118985.9855970424,20.315
2020,1457422.5857406438,296075.39829321177,20.315
2021,7725139.1316670375,1569362.0145981587,20.315
2022,6470984.3510361565,1314580.4709129953,20.315
2023,16413641.203633333,3334431.2105181115,20.315
2024,9271631.019369133,1883531.8415848394,20.315
2025,19574336.49742083,3976526.459451041,20.315
