year,pnl_yen,tax_yen,tax_rate_eff
2016,4686508.194875263,952064.1397889096,20.315
2017,9425116.129755205,1914712.3417597697,20.315
2018,-1700038.4409511744,0.0,0.0
2019,7934641.237072489,1611922.3673112763,20.315
2020,1140497.3343575557,231692.03347473743,20.315
2021,6174849.860007541,1254420.749060532,20.315
2022,4657013.897312664,946072.3732390677,20.315
2023,12588867.641448231,2557428.461360208,20.315
2024,6538875.541158803,1328372.5661864108,20.315
2025,14572713.120350026,2960446.6703991075,20.315
