date,低PBR,低PBR×高ROE,低PBR×高自己資本比率,低PER,低PER×高ROE,高ROE,高営業利益率,高自己資本比率
2017-01-31,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0
2017-02-28,9849070.0,9931260.0,9931260.0,10474620.0,10405640.0,10720970.0,10407650.0,10576750.0
2017-03-31,10140430.0,10493880.0,9570750.0,11210650.0,11155040.0,10810610.0,10420350.0,10832200.0
2017-04-28,9698030.0,10750780.0,9161750.0,11287640.0,11178990.0,10871000.0,10380150.0,10685960.0
2017-05-31,10680630.0,12265190.0,10194510.0,12850540.0,12808570.0,11179510.0,10478620.0,11107700.0
2017-06-30,11299460.0,12828970.0,10592540.0,13437750.0,13441310.0,12349390.0,10557500.0,12816700.0
2017-07-31,11746850.0,13294530.0,11107250.0,13818430.0,13737430.0,11723440.0,10522100.0,13190200.0
2017-08-31,12125670.0,13864800.0,11041020.0,14597090.0,14437080.0,11621520.0,10451020.0,12513500.0
2017-09-29,12610590.0,14423410.0,11460780.0,15081920.0,14981900.0,11694670.0,10551820.0,12438600.0
2017-10-31,13235270.0,14951710.0,11864600.0,15896200.0,15694660.0,11900840.0,10860760.0,13139350.0
2017-11-30,13516190.0,15740540.0,12151720.0,16256310.0,16067250.0,11690250.0,10959130.0,13315050.0
2017-12-29,13306610.0,16427740.0,12628450.0,16816690.0,16684100.0,11896990.0,10918850.0,13621450.0
2018-01-31,12393855.9605,15339404.844,12005368.1725,16266119.4265,16456705.085,12543149.4815,10911745.622499999,13142162.192499999
2018-02-28,11303065.9605,15248904.844,11202358.1725,15825059.4265,16204085.085,12163039.4815,10817845.622499999,12821362.192499999
2018-03-30,10325015.9605,14930574.844,10209828.1725,15627609.4265,15982965.085,11951569.4815,10786485.622499999,12715562.192499999
2018-04-27,9738585.9605,15228834.844,9695368.1725,16006209.4265,16384575.085,11921339.4815,10903945.622499999,12594462.192499999
2018-05-31,9074465.9605,15368174.844,8539238.1725,15901989.4265,16089225.085,12608549.4815,11135175.622499999,12200262.192499999
2018-06-29,9038735.9605,14392144.844,8097618.172499999,16206069.4265,15270045.085,12456399.4815,11052885.622499999,11779962.192499999
2018-07-31,8739605.9605,14808274.844,7856998.172499999,16737209.4265,15695905.085,12165199.4815,10848185.622499999,11650962.192499999
2018-08-31,8710105.9605,15091904.844,7673148.172499999,16935159.4265,15789875.085,11725179.4815,10840335.622499999,11841962.192499999
2018-09-28,8555135.9605,14693424.844,7562738.172499999,16013169.4265,15684495.085,11700139.4815,10742235.622499999,12070862.192499999
2018-10-31,7707635.9605,13419254.844,6737868.172499999,14652699.4265,14259535.085,10244439.4815,10358335.622499999,11479712.192499999
2018-11-30,7375805.9605,13077034.844,6337838.172499999,14392599.4265,13885485.085,10252969.4815,10749485.622499999,11552312.192499999
2018-12-28,6263935.9605,10974844.844,5413128.172499999,11987759.4265,11136325.085,7845859.4815,10229085.622499999,9847162.192499999
2019-01-31,6056895.9605,10388884.844,5019628.172499999,12431939.4265,11583455.085,8620059.4815,10582185.622499999,10326362.192499999
2019-02-28,6040455.9605,10877384.844,5005818.172499999,13162159.4265,12189205.085,9047039.4815,10714485.622499999,10702212.192499999
2019-03-29,5648595.9605,10630624.844,4922198.172499999,12817199.4265,12590455.085,9285539.4815,10639885.622499999,10790312.192499999
2019-04-26,5460015.9605,9735124.844,4973948.172499999,11574849.4265,11647545.085,9522909.4815,10604235.622499999,11005562.192499999
2019-05-31,4906955.9605,8846814.844,4358808.172499999,10983319.4265,10410205.085,9096179.4815,10577635.622499999,10593712.192499999
2019-06-28,5099105.9605,9077674.844,4470558.172499999,11415169.4265,10713185.085,9375359.4815,10729235.622499999,10964262.192499999
2019-07-31,4949225.9605,8969124.844,4362858.172499999,10550719.4265,10383105.085,9691009.4815,10854535.622499999,11289372.192499999
2019-08-30,4417885.9605,7997024.8440000005,3797108.1724999994,9365219.4265,9228075.085,9454089.4815,11041035.622499999,10990642.192499999
2019-09-30,4645735.9605,8464754.844,3933488.1724999994,9920299.4265,9837625.085,9668729.4815,11131035.622499999,11185992.192499999
2019-10-31,4756535.9605,8704924.844,4132948.1724999994,10257179.4265,10148775.085,9914349.4815,11342135.622499999,11343672.192499999
2019-11-29,4944695.9605,9206304.844,4293138.172499999,10848879.4265,10723125.085,10467379.4815,11407635.622499999,11407422.192499999
2019-12-30,5119555.9605,9263434.844,4498488.172499999,11278939.4265,11128105.085,10842439.4815,11481335.622499999,11273272.192499999
2020-01-31,4554899.1575,8140099.6435,4241093.4915,9749880.902,9471467.853,9976374.2545,11168841.034999998,10414401.845999999
2020-02-28,4010599.1574999997,7143589.6435,3795753.4914999995,8894200.902,8630717.853,8407294.2545,10648291.034999998,9022421.845999999
2020-03-31,3027459.1574999997,5823259.6435,3168863.4914999995,6872630.902000001,6438557.853,6948374.2545,10362441.034999998,8621521.845999999
2020-04-30,3066499.1574999997,5870709.6435,3203793.4914999995,7108500.902000001,6690277.853,7902414.2545,10604241.034999998,9390041.845999999
2020-05-29,3402699.1574999997,6418199.6435,3391233.4914999995,7801960.902000001,7608917.853,8825464.2545,11167591.034999998,9719641.845999999
2020-06-30,3169119.1574999997,6397509.6435,3083713.4914999995,7365490.902000001,7599607.853,9293604.2545,11427691.034999998,9632451.845999999
2020-07-31,2705979.1574999997,5206219.6435,2716663.4914999995,6536080.902000001,6618117.853,8791354.2545,11038591.034999998,9000751.845999999
2020-08-31,2859849.1574999997,5426439.6435,2765363.4914999995,6990670.902000001,7146167.853,9553184.2545,11471041.034999998,9469551.845999999
2020-09-30,2943149.1574999997,5270529.6435,2644593.4914999995,7013690.902000001,6845317.853,9690714.2545,11658741.034999998,10151951.845999999
2020-10-30,2654449.1574999997,5153899.6435,2342203.4914999995,6175950.902000001,6307937.853,9248344.2545,11387531.034999998,9535651.845999999
2020-11-30,2756589.1574999997,5302319.6435,2310013.4914999995,6389970.902000001,6443857.853,9351914.2545,11550631.034999998,9702551.845999999
2020-12-30,2865709.1574999997,5479109.6435,2408483.4914999995,6592620.902000001,6554237.853,9051564.2545,11506911.034999998,9440751.845999999
2021-01-29,2900439.1574999997,5589159.6435,2460853.4914999995,6672610.902000001,6698197.853,9523764.2545,11453835.129499998,9713951.845999999
2021-02-26,3172439.1574999997,5743979.6435,2543803.4914999995,7195920.902000001,7208487.853,9766284.2545,11823455.129499998,9868951.845999999
2021-03-31,3303109.1574999997,6093159.6435,2683753.4914999995,6768000.902000001,6894587.853,9720204.2545,11790205.129499998,9613051.845999999
2021-04-30,3109099.1574999997,6001839.6435,2676373.4914999995,6358390.902000001,6793607.853,9334504.2545,11662025.129499998,9281551.845999999
2021-05-31,3206529.1574999997,6179409.6435,2662593.4914999995,6436650.902000001,6909607.853,9038404.2545,11815205.129499998,9402451.845999999
2021-06-30,3155919.1574999997,5790569.6435,2652553.4914999995,5890720.902000001,6731727.853,8726144.2545,11824205.129499998,9607101.845999999
2021-07-30,3160289.1574999997,5847109.6435,2606993.4914999995,5874320.902000001,6731267.853,8597864.2545,11737505.129499998,9058801.845999999
2021-08-31,3121139.1574999997,6257819.6435,2638453.4914999995,6387540.902000001,7328467.853,8587024.2545,12166905.129499998,8876701.845999999
2021-09-30,2935989.1574999997,6198499.6435,2495663.4914999995,6131260.902000001,6998887.853,8192624.2545,12134205.129499998,8808001.845999999
2021-10-29,2839829.1574999997,5885709.6435,2252643.4914999995,6144470.902000001,6975877.853,7961964.2545,11964825.129499998,8227201.845999999
2021-11-30,2782129.1574999997,5744769.6435,2028023.4914999995,6202880.902000001,6873507.853,7475764.2545,11832805.129499998,8033301.845999999
2021-12-30,2789169.1574999997,6025059.6435,2105883.4914999995,6198390.902000001,7249167.853,7455304.2545,11766405.129499998,7836901.845999999
2022-01-31,2588408.471,5556930.1905000005,1998747.5874999994,5567717.682500001,6474473.981000001,6831254.2545,11344454.564,7304101.845999999
2022-02-28,2534778.471,5207490.1905000005,1946627.5874999994,5377417.682500001,6270583.981000001,6861454.2545,11280534.564,7010701.845999999
2022-03-31,2420188.471,4931330.1905000005,1870997.5874999994,5077107.682500001,5969363.981000001,7579194.2545,11354034.564,7627301.845999999
2022-04-28,2307408.471,4759930.1905000005,1866017.5874999994,4846687.682500001,5735793.981000001,7234234.2545,11154754.564,6944701.845999999
2022-05-31,2212738.471,4285320.1905000005,1784917.5874999994,4969537.682500001,5869113.981000001,7404034.2545,11206554.564,7043401.845999999
2022-06-30,2175748.471,4133380.1905000005,1742767.5874999994,4758237.682500001,5628673.981000001,7738354.2545,11131754.564,6957001.845999999
2022-07-29,1899998.471,4088920.1905000005,1646287.5874999994,4612247.682500001,5494943.981000001,8061824.2545,11189954.564,7209601.845999999
2022-08-31,1848778.471,4189180.1905000005,1609507.5874999994,4697857.682500001,5585733.981000001,8317244.2545,11226754.564,7327701.845999999
2022-09-30,1748588.471,4751720.1905000005,1868727.5874999994,5406007.682500001,6389513.981000001,7739024.2545,11121454.564,7072301.845999999
2022-10-31,1783238.471,4992370.1905000005,1932137.5874999994,5689937.682500001,6734443.981000001,8108974.2545,11427454.564,6896001.845999999
2022-11-30,1853728.471,5523680.1905000005,1995937.5874999994,6247527.682500001,7434563.981000001,8299864.2545,11570554.564,7043301.845999999
2022-12-30,1807278.471,5267020.1905000005,2002497.5874999994,6020837.682500001,7269953.981000001,8381214.2545,11563854.564,6943001.845999999
2023-01-31,1719106.2629999998,5329687.7125,1956954.6549999993,6038512.8445000015,7167156.226000001,8618805.638,11691254.564,7129426.380999999
2023-02-28,1758196.2629999998,5636287.7125,2045674.6549999993,6220552.8445000015,7519986.226000001,8755445.638,11937254.564,7260126.380999999
2023-03-31,1560926.2629999998,5331697.7125,1959294.6549999993,5614422.8445000015,7073236.226000001,8854925.638,11741854.564,7678026.380999999
2023-04-28,1594686.2629999998,5488857.7125,2030194.6549999993,5719422.8445000015,7145966.226000001,8846755.638,11567704.564,7509626.380999999
2023-05-31,1562806.2629999998,5469587.7125,1947534.6549999993,5885002.8445000015,7179376.226000001,8826555.638,11533154.564,7700026.380999999
2023-06-30,1639436.2629999998,5819247.7125,2033064.6549999993,6231232.8445000015,7648356.226000001,9378175.638,11111504.564,8477026.381
2023-07-31,1726566.2629999998,6053087.7125,2125434.6549999993,6567232.8445000015,8115476.226000001,9574375.638,11106254.564,8324926.380999999
2023-08-31,1747086.2629999998,5960377.7125,2035964.6549999993,6760792.8445000015,8350206.226000001,9697775.638,11291654.564,8109626.380999999
2023-09-29,1779026.2629999998,6159747.7125,2072194.6549999993,6634602.8445000015,8231236.226000001,9552175.638,11112854.564,7930226.380999999
2023-10-31,1746446.2629999998,6060827.7125,2093504.6549999993,6377142.8445000015,7884936.226000001,8752825.638,10840204.564,7553426.380999999
2023-11-30,1883326.2629999998,6447447.7125,2201824.6549999993,6594822.8445000015,7999976.226000001,9103585.638,11147554.564,7563626.380999999
2023-12-29,1875726.2629999998,6493627.7125,2229664.6549999993,6734682.8445000015,8230756.226000001,9165265.638,11249354.564,7470926.380999999
2024-01-31,1796203.8399999999,6585439.5925,2283555.588999999,6754877.139500001,8267355.241,9779883.3655,11486828.809,7378731.520999999
2024-02-29,2043453.8399999999,6946049.5925,2363245.588999999,6882667.139500001,8419335.241,9726953.3655,11562228.809,7726431.520999999
2024-03-29,2139713.84,7498829.5925,2462475.588999999,7390127.139500001,9108295.241,9591513.3655,11646928.809,8312831.520999999
2024-04-30,2118753.84,7437179.5925,2450895.588999999,7450527.139500001,9102915.241,9196703.3655,11342028.809,7896931.520999999
2024-05-31,2297073.84,7528679.5925,2501225.588999999,7978897.139500001,9341175.241,9168303.3655,11389678.809,7946831.520999999
2024-06-28,2316093.84,8016029.5925,2566625.588999999,8267677.139500001,9887375.241,9532613.3655,11588078.809,8028531.520999999
2024-07-31,2326103.84,7722209.5925,2451765.588999999,8210197.139500001,9683245.241,9338703.3655,11498078.809,7870231.520999999
2024-08-30,2199443.84,7462479.5925,2401535.588999999,7736477.139500001,9429245.241,9144313.3655,11428228.809,7779531.520999999
2024-09-30,2171653.84,7104269.5925,2413025.588999999,7509937.139500001,9282995.241,8749073.3655,11358428.809,7509731.520999999
2024-10-31,2167683.84,7096879.5925,2301905.588999999,7608547.139500001,9288095.241,8477573.3655,11207978.809,7341431.520999999
2024-11-29,2162613.84,7002659.5925,2289045.588999999,7382197.139500001,9239625.241,8538973.3655,11179328.809,7233631.520999999
2024-12-30,2097893.84,6984889.5925,2362675.588999999,7121627.139500001,9102245.241,8638133.3655,11230978.809,6960531.520999999
2025-01-31,1997481.3699999999,6729602.367500001,2309740.425499999,7018239.585500002,8963870.3435,8667973.3655,11243677.3815,7055631.520999999
2025-02-28,2085471.3699999999,6788892.367500001,2460150.425499999,7036569.585500002,8997720.3435,9318013.3655,11138677.3815,7036531.520999999
2025-03-31,2055111.3699999999,6500582.367500001,2542400.425499999,6708139.585500002,8537820.3435,9064273.3655,11036427.3815,7187331.520999999
2025-04-30,2054211.3699999999,6686592.367500001,2567290.425499999,6756939.585500002,8617780.3435,9033073.3655,11130727.3815,7048331.520999999
2025-05-30,2308991.37,6978492.367500001,2639320.425499999,7642539.585500002,9862260.3435,9202673.3655,11121627.3815,7400831.520999999
2025-06-30,2705621.37,7621042.367500001,3019180.425499999,7794759.585500002,10496350.3435,9435773.3655,11268027.3815,7119131.520999999
2025-07-31,2980231.37,8053272.367500001,3166740.425499999,8295609.585500002,11111890.3435,9390373.3655,11315027.3815,7161631.520999999
2025-08-29,3258031.37,9626702.3675,3451690.425499999,9033499.585500002,12958650.3435,10301823.3655,11504127.3815,7147431.520999999
2025-09-30,3234071.37,9994982.3675,3592210.425499999,9431249.585500002,13642250.3435,9827273.3655,11558827.3815,7092831.520999999
2025-10-31,3254051.37,9924752.3675,3352370.425499999,9569679.585500002,13320090.3435,9665923.3655,11432227.3815,6759631.520999999
2025-11-28,3224471.37,10040912.3675,3381170.425499999,9490069.585500002,12545690.3435,9376973.3655,11587127.3815,6779131.520999999
2025-12-30,3533121.37,10211412.3675,3375740.425499999,9628539.585500002,12523430.3435,9195073.3655,11509927.3815,6464531.520999999
2026-01-22,3189500.1684999997,9695173.368,3106357.677499999,9574712.162500001,12235498.966999998,9336376.4645,11498568.8215,6780482.545999999
