start_date,end_date,cash,portfolio_value,total_value,invested,n_stocks,valid_stocks,return,cumulative_return,peak,drawdown,investment_ratio
2016-10-03,2017-10-02,488680.0,18054270.0,18542950.0,9511320.0,20,20,,,18542950.0,0.0,0.9736460487678605
2017-10-02,2018-10-01,636620.0,25203660.0,25840280.0,17906330.0,20,20,0.3935366271278302,0.3935366271278302,25840280.0,0.0,0.9753632700574452
2018-10-01,2019-10-01,511109.70749999955,21038430.0,21549539.7075,23593670.0,20,20,-0.16604852162979655,0.162141930356281,25840280.0,-0.1660485216297966,0.976282105583809
2019-10-01,2020-10-01,943315.9195000008,25963470.0,26906785.9195,19041660.0,20,20,0.2486014218733168,0.4510520666614535,26906785.9195,0.0,0.9649413377605849
2020-10-01,2021-10-01,1086035.9195000008,29885430.0,30971465.9195,25820750.0,20,20,0.15106523730336097,0.6702555914511983,30971465.9195,0.0,0.9649343068770853
2021-10-01,2022-10-03,853070.2180000022,30098140.0,30951210.218000002,28712230.0,20,20,-0.0006540117136414336,0.6691632247296142,30971465.9195,-0.000654011713641405,0.9724382273910605
2022-10-03,2023-10-02,536875.9920000024,44020410.0,44557285.992,29542000.0,20,20,0.43959753683838954,1.402923266901976,44557285.992,0.0,0.987950882104974
2023-10-02,2024-10-01,902821.7155000046,62274350.0,63177171.715500005,43308640.0,20,20,0.4178864423394886,2.407072322122424,63177171.715500005,0.0,0.9857096845112725
2024-10-01,2025-10-01,824462.7240000069,79828220.0,80652682.724,59411420.0,20,20,0.2766111640324116,3.3495065630873198,80652682.724,0.0,0.989777615621028
2025-10-01,2026-01-22,1955075.158500007,81468900.0,83423975.1585,0.0,18,18,0.03436082149906383,3.4989591817105694,83423975.1585,0.0,0.9765645888392936
