date,estimated_capital,peak,drawdown
2016-10-03,10000000.0,10000000.0,0.0
2016-10-04,10021199.953443682,10021199.953443682,0.0
2016-10-05,10042399.906887362,10042399.906887362,0.0
2016-10-06,10063599.860331045,10063599.860331045,0.0
2016-10-07,10084799.813774725,10084799.813774725,0.0
2016-10-11,10169599.62754945,10169599.62754945,0.0
2016-10-12,10190799.580993133,10190799.580993133,0.0
2016-10-13,10211999.534436813,10211999.534436813,0.0
2016-10-14,10233199.487880496,10233199.487880496,0.0
2016-10-17,10296799.348211538,10296799.348211538,0.0
2016-10-18,10317999.30165522,10317999.30165522,0.0
2016-10-19,10339199.255098902,10339199.255098902,0.0
2016-10-20,10360399.208542584,10360399.208542584,0.0
2016-10-21,10381599.161986263,10381599.161986263,0.0
2016-10-24,10445199.022317309,10445199.022317309,0.0
2016-10-25,10466398.975760989,10466398.975760989,0.0
2016-10-26,10487598.92920467,10487598.92920467,0.0
2016-10-27,10508798.88264835,10508798.88264835,0.0
2016-10-28,10529998.836092034,10529998.836092034,0.0
2016-10-31,10593598.696423076,10593598.696423076,0.0
2016-11-01,10614798.64986676,10614798.64986676,0.0
2016-11-02,10635998.60331044,10635998.60331044,0.0
2016-11-04,10678398.510197802,10678398.510197802,0.0
2016-11-07,10741998.370528847,10741998.370528847,0.0
2016-11-08,10763198.323972527,10763198.323972527,0.0
2016-11-09,10784398.277416209,10784398.277416209,0.0
2016-11-10,10805598.23085989,10805598.23085989,0.0
2016-11-11,10826798.184303572,10826798.184303572,0.0
2016-11-14,10890398.044634614,10890398.044634614,0.0
2016-11-15,10911597.998078298,10911597.998078298,0.0
2016-11-16,10932797.951521978,10932797.951521978,0.0
2016-11-17,10953997.90496566,10953997.90496566,0.0
2016-11-18,10975197.85840934,10975197.85840934,0.0
2016-11-21,11038797.718740385,11038797.718740385,0.0
2016-11-22,11059997.672184065,11059997.672184065,0.0
2016-11-24,11102397.579071429,11102397.579071429,0.0
2016-11-25,11123597.53251511,11123597.53251511,0.0
