rebalance_month,n_periods,n_years,first_date,last_date,initial_capital,final_value,total_return,annual_return,sharpe_ratio,max_dd,win_rate,avg_return,std_return,month_name
1,7,7,2018-01-04,2025-01-06,10000000,1132843.1890000002,-0.8867156811000001,-0.2673755646005801,-0.6745842318562368,-0.9182507725757963,0.2857142857142857,-0.21755738560602317,0.32250588634035493,1月
2,7,7,2018-02-01,2025-02-03,10000000,1215119.8145000003,-0.8784880185499999,-0.2600007145033566,-0.7131277336827329,-0.8958388675158176,0.2857142857142857,-0.20428359836805907,0.28646144122469913,2月
3,7,7,2018-03-01,2025-03-03,10000000,1598220.6585,-0.84017793415,-0.2304553557329435,-0.2555232364218665,-0.9157489560757062,0.42857142857142855,-0.11636353280427726,0.455393154977742,3月
4,7,7,2018-04-02,2025-04-01,10000000,243215.45600000003,-0.9756784544,-0.4119323218151967,-0.36795835091402157,-0.9849822248387665,0.2857142857142857,-0.17448289439738968,0.4741919675527624,4月
5,7,7,2018-05-01,2025-05-01,10000000,971575.9985,-0.90284240015,-0.28327290068641797,-0.39884718206150616,-0.9347035444498657,0.2857142857142857,-0.16842694366786518,0.42228440175338156,5月
6,7,7,2018-06-01,2025-06-02,10000000,1722005.4120000002,-0.8277994587999999,-0.222210505041737,-0.8481420680911418,-0.8431721911107508,0.2857142857142857,-0.1920106321149404,0.2263897044360578,6月
7,7,7,2018-07-02,2025-07-01,10000000,1349617.2354999995,-0.86503827645,-0.24881938203940568,-1.0924625189192427,-0.8780977828730294,0.14285714285714285,-0.22242895677204816,0.20360328425005728,7月
8,8,8,2017-08-01,2025-08-01,10000000,437459.41250000003,-0.95625405875,-0.3237345180375364,-0.37495430475488056,-0.9556556314970528,0.125,-0.12823604116406567,0.3420044510434348,8月
9,8,8,2017-09-01,2025-09-01,10000000,1212352.3474999997,-0.87876476525,-0.23183660647684634,-0.6936495515076899,-0.9030026556506934,0.25,-0.1868144643251134,0.2693211059086835,9月
10,8,8,2017-10-02,2025-10-01,10000000,785430.0065000003,-0.92145699935,-0.27240712739677986,-0.6774938605409999,-0.9372384530836605,0.25,-0.20939506587205753,0.3090730087278563,10月
11,8,8,2017-11-01,2025-11-04,10000000,938807.2935000004,-0.90611927065,-0.25600150528501553,-0.6254617513641546,-0.9355525499724721,0.125,-0.20369477672798159,0.32567103629233274,11月
12,8,8,2017-12-01,2025-12-01,10000000,1394059.0144999996,-0.86059409855,-0.21830894033546366,-0.2273355311591234,-0.9417682847988281,0.375,-0.11282555035833702,0.49629527677908314,12月
