window_id,window_start,window_end,MKT,SMB,HML,RMW,CMA,WML,n_stocks,n_inv_valid
1,2021-03,2022-02,-0.2670948624421308,-0.16947731010872946,0.17937330170894455,-0.06995483473709879,-0.03466125918022178,0.004405132197024431,16539,11968
2,2021-04,2022-03,-0.16243780084943477,-0.07564971415899457,-0.028274189547754486,-0.025405921806662124,-0.04703804704909109,-0.15240499092166188,19843,14530
3,2021-05,2022-04,-0.18521915208192835,-0.08522016369921162,0.00805716321375527,-0.05070401542044853,-0.002251128554380144,-0.09105438053301282,23082,17104
4,2021-06,2022-05,-0.14782719682626239,-0.07130061583969469,-0.015130103868458478,-0.02956798221888335,-0.0386623938646799,-0.09082967541507606,26375,19822
5,2021-07,2022-06,-0.13192415778694352,-0.07188706643534462,-0.018502835830514375,-0.04478364579572708,-0.02423718099547431,-0.07012062803023514,29536,22410
6,2021-08,2022-07,-0.08440580935938115,-0.09033233235113008,-0.06884920647224417,0.008537797444144568,-0.05121570432735677,-0.1068915307638736,32594,24824
7,2021-09,2022-08,-0.050793234606088464,-0.0912956844066099,-0.08262735124192498,0.037144956142644306,-0.0615884483553603,-0.06112913915043342,36125,27364
8,2021-10,2022-09,-0.09251055261835449,-0.09419360985362014,-0.09414193919885736,0.0019470953582177847,-0.024611004337605227,-0.09247608611001076,39612,29855
9,2021-11,2022-10,-0.043944480627475524,-0.11429539767584047,-0.1205992354159323,-0.010626233091871683,-0.020189032047058617,-0.09635924942536032,39753,31459
10,2021-12,2022-11,0.04774055975777574,-0.11042962961137805,-0.12380699424570911,-0.09825366451189502,0.02267958746523612,-0.08187387340302915,39878,31702
11,2022-01,2022-12,-0.007432421236458937,-0.09333665474319958,-0.13372824502795477,-0.058259523810102125,0.01140484135491901,-0.10046696452617601,40000,31939
12,2022-02,2023-01,0.09219002910677854,-0.07626177203354671,-0.21992778592724826,-0.08139723562824536,0.027337884192904727,-0.11421641111293084,40079,32140
13,2022-03,2023-02,0.10491374893877278,-0.05163921737441733,-0.19521250363364323,-0.09053702350014346,0.03192358155802165,-0.08633234110709401,40159,32316
14,2022-04,2023-03,0.0760960400304394,-0.0785791925392687,-0.13261610082562758,-0.09997008291660386,0.03161321829183211,-0.0283460067525734,40295,32495
15,2022-05,2023-04,0.11767556072262933,-0.08558499950145176,-0.14127678998212748,-0.10476876867865317,0.02863724634502919,-0.06617465751152223,40427,32635
16,2022-06,2023-05,0.10838207323200008,-0.09536564146134996,-0.17041795575053478,-0.10172352251000884,0.0179691853000455,-0.07969371038092281,40602,32871
17,2022-07,2023-06,0.16755034686437084,-0.10184243032427553,-0.19554130951400964,-0.051207864505706496,-0.008221962878917133,-0.07035919759536119,40706,33044
18,2022-08,2023-07,0.14850197265203627,-0.0943756567116317,-0.12392446199455232,-0.07519947087155748,-0.0017276888381985989,-0.021173508210593633,40793,33201
19,2022-09,2023-08,0.13807958324820135,-0.0947612959342578,-0.10540886634054007,-0.08102523686112406,-0.0034708223119171433,-0.016242177680611702,40840,33281
20,2022-10,2023-09,0.1871975702871019,-0.07838821449048283,-0.06459043414314516,-0.05775616278674564,-0.023188123833250862,-0.023381687722892786,40920,33370
21,2022-11,2023-10,0.11218468229692297,-0.08837045902053037,0.001291641777605712,-0.06814346503835365,-0.008485839629401207,-0.007207929141103506,40998,33434
22,2022-12,2023-11,0.1243532799112471,-0.1038519207515752,-0.03450103690061135,-0.06793396266220048,-0.005605128635728512,-0.008192586684847819,41083,33511
23,2023-01,2023-12,0.17470254971854474,-0.14777960385503702,-0.1346453984059579,-0.12456799230525914,-0.012136485578335576,-0.0852281866117677,41163,33585
24,2023-02,2024-01,0.18776649810532664,-0.1559512851614607,-0.12552626107095244,-0.1238969385481486,-0.01640416239659806,-0.07442928282752098,41331,33729
25,2023-03,2024-02,0.18976867610240475,-0.17644075176984325,-0.1872440631431732,-0.11286727448849204,-0.035007254522397724,-0.06567059289643201,41455,33869
26,2023-04,2024-03,0.20470640119394992,-0.18588963843960843,-0.15619159247893982,-0.12085249368812273,-0.0395562019854854,-0.08186117895171355,41543,33987
27,2023-05,2024-04,0.16562074259268453,-0.19442315122245815,-0.15169657589411012,-0.12148960476583627,-0.03094295486748455,-0.08257905206054725,41642,34166
28,2023-06,2024-05,0.16187326198734026,-0.20239985455257437,-0.1255430449392987,-0.13803273497995677,-0.014721479679416866,-0.0776727923599342,41714,34243
29,2023-07,2024-06,0.1350548782295446,-0.18543808893791386,-0.1413739505064749,-0.16638409057570497,6.87259124472761e-05,-0.09645321626891076,41775,34347
30,2023-08,2024-07,0.12466079852740786,-0.18516784962838784,-0.19915194298554623,-0.18851514868826208,0.0053288179660817,-0.10386896664202107,41826,34441
31,2023-09,2024-08,0.08294005464461593,-0.1983412283508587,-0.2583861744039856,-0.22502734285141257,0.008967910921145239,-0.10454991884207629,41881,34496
32,2023-10,2024-09,0.05475624472881545,-0.21826782504031766,-0.32749695343491403,-0.21491013609210013,0.01641010637513393,-0.09655920284576446,41917,34520
33,2023-11,2024-10,0.09716879085498978,-0.20464469134206936,-0.3677033178352361,-0.2245903742562127,0.008646296776151086,-0.08896483130638674,41969,34565
34,2023-12,2024-11,0.059183528816889694,-0.19204023410981486,-0.3556221961027387,-0.2033184358539066,0.012283521357624443,-0.07806323260453935,41989,34546
35,2024-01,2024-12,0.06175351075700644,-0.15780175320985115,-0.2839360377070145,-0.16923606633903487,0.016142299533850255,-0.03341604411863813,42055,34561
36,2024-02,2025-01,0.023018626089180243,-0.1392626274636225,-0.30634761350384043,-0.1618913953639723,0.029752680952480935,-0.07778045563265264,42137,34682
37,2024-03,2025-02,-0.006428228048041327,-0.10229777462481973,-0.2546623023496946,-0.1738017913515178,0.0494780804200124,-0.10998321815284091,42139,34766
38,2024-04,2025-03,-0.02318064511314502,-0.09049958341708923,-0.27345221687088905,-0.16876029756430658,0.05014901983271606,-0.12319340012601698,42147,34871
39,2024-05,2025-04,-0.00038397148466183734,-0.08233700110510658,-0.3206735718840643,-0.14984255836101293,0.03074473561372594,-0.10483245821952705,42185,34952
40,2024-06,2025-05,0.043035246238062125,-0.07451193161056632,-0.3407977231797594,-0.11582533918042615,-0.009426126928383356,-0.10715879497115466,42158,34920
41,2024-07,2025-06,0.04020212852195555,-0.0766545732641518,-0.3562741648605098,-0.11331997205865738,-0.021563653180074333,-0.08958627083606871,42161,34878
42,2024-08,2025-07,0.080488869927305,-0.07032922543930312,-0.3305565001640425,-0.07237740833202351,-0.04375854373622706,-0.042371241540232835,42244,34916
43,2024-09,2025-08,0.16657442195187436,-0.06040626963619994,-0.304155653654462,-0.026552481057554422,-0.03279029087793889,0.04802409595985713,42228,34985
44,2024-10,2025-09,0.19017401365836425,-0.06972735483886142,-0.2714097176492878,-0.013114391617341153,-0.07419745688875334,-0.0005073134704472182,42215,35069
45,2024-11,2025-10,0.18224937141907105,-0.07946105868042594,-0.24413951599068803,0.0038784598957381233,-0.07160915632883263,-0.044730576002315725,42210,35126
46,2024-12,2025-11,0.20296534652510212,-0.11863599512942877,-0.2041735873103334,-0.024778196569910926,-0.06790458022351764,-0.03406074657181188,42245,35164
47,2025-01,2025-12,0.18869855410879785,-0.09911991804623313,-0.18331772455097234,-0.03312321937166285,-0.054438333045566195,-0.016443482456213854,42238,35176
48,2025-02,2026-01,0.21224372913982872,-0.11607199345845323,-0.17762349998602683,-0.06643843902258381,-0.040924783660487185,0.023539433894687267,42198,35154
49,2025-03,2026-02,0.2915687582795841,-0.21655529850075428,-0.19710261321433453,-0.08791821156394725,-0.08550262333864861,0.12225438522340376,42212,35172
50,2025-04,2026-03,0.24018984646677116,-0.18372317414191222,-0.18354736508150482,-0.08121463676449259,-0.017670889464504097,0.06756890140476898,42245,35188
