Code,Price_Now,Price_6M,Return_6M,Eq,BPS_Final,Sales,OP,SharesOut,MarketCap,PBR,OP_Margin
6501,4853.0,3931.0,23.454591706944793,6554124000000.0,1409.23,7501797000000.0,825715000000.0,4581560985.0,22570597966265.266,3.44372458718591,11.006896081032318
8058,5211.0,3497.0,49.01344009150701,9859253000000.0,2447.1167095567903,13681049000000.0,,4028926353.0,20994735225483.004,2.1294448195500206,
9983,65000.0,49180.0,32.1675477836519,2568873000000.0,8161.23,1027745000000.0,210914000000.0,318220968.0,20459752390264.703,7.964485745408474,20.522016648098507
6857,23650.0,11940.0,98.07370184254607,674299000000.0,880.1235995572075,800537000000.0,346006000000.0,766141256.0,18119240704400.0,26.871225827711445,43.22173740876437
8035,38340.0,20600.0,86.11650485436893,2005249000000.0,4251.717193683417,1731715000000.0,419293000000.0,471632733.0,18082398983220.0,9.017532976313664,24.212586944156516
7011,4745.0,3727.0,27.31419372149182,2785558000000.0,825.6813268246872,3326976000000.0,,3373647810.0,16007958858450.0,5.746769178186201,
4519,9362.0,6678.0,40.191674153938294,2025732000000.0,1230.91,1257941000000.0,598833000000.0,1679057667.0,15407221473543.963,7.605755091761379,47.604219911744664
6861,60880.0,55890.0,8.928251923421016,3335392000000.0,13714.171958481378,834605000000.0,416381000000.0,243207684.0,14806483801920.0,4.4392034885015015,49.88958848796736
4063,6531.0,4437.0,47.19405003380663,4489768000000.0,2303.72,1934000000000.0,498026000000.0,1984995865.0,12728402239855.54,2.8349799454794855,25.75108583247156
6503,5456.0,3659.0,49.111779174637874,4301847000000.0,2035.70123160486,4156010000000.0,294757000000.0,2113201551.0,11529627662256.0,2.6801575375079585,7.092307285112404
285A,21065.0,3150.0,568.7301587301588,978647000000.0,1797.4366361007526,1334776000000.0,273574000000.0,544468150.0,11469221579750.0,11.71946736642528,20.495873464910964
9433,2632.0,2513.5,4.714541476029432,5475126000000.0,1307.384290853951,2963161000000.0,577156000000.0,4187847474.0,11022414551568.002,2.0131800713934256,19.47771315834678
2914,5711.0,4783.0,19.40204892326991,4115389000000.0,2301.99,3467675000000.0,867038000000.0,2000000000.0,10209856071920.383,2.4808969630623943,25.003438903588137
8267,2019.0,1797.0,12.353923205342232,1980246000000.0,417.35,7749403000000.0,144737000000.0,2783529021.0,9579769196118.365,4.837666227387085,1.8677180680885999
7741,27765.0,20755.0,33.77499397735486,1041804000000.0,3036.24401096028,699619000000.0,,343122620.0,9526799544300.0,9.144521948754276,
8002,5591.0,3543.0,57.804120801580574,4286989000000.0,2520.04,6172419000000.0,190603000000.0,1660758361.0,9511180576101.967,2.2186155775305156,3.087978959302666
5802,10390.0,4236.0,145.27856468366386,2659222000000.0,3349.3967900526904,3686897000000.0,271045000000.0,793940571.0,8249042532690.0,3.1020511009197427,7.351575050781185
5803,26520.0,13555.0,95.64736259682773,538446000000.0,1819.914060954497,854931000000.0,142196000000.0,295863421.0,7846297924920.0,14.57211665593207,16.632453379278562
6146,69610.0,37730.0,84.4950967399947,542611000000.0,5003.488862239196,303828000000.0,126212000000.0,108446529.0,7548962883690.0,13.912292385686984,41.54060850217887
8015,6304.0,4054.0,55.5007400098668,3148884000000.0,2964.577553488664,8381600000000.0,403201000000.0,1062169548.0,6695916830592.0,2.126441250484934,4.8105492984633
6981,3650.0,2524.5,44.58308575955634,2613547000000.0,1436.27,1370232000000.0,203012000000.0,1963001843.0,6641819818000.794,2.541304907851588,14.81588519316437
6954,6103.0,4175.0,46.179640718562865,1812225000000.0,1844.7225680328079,623312000000.0,127704000000.0,982383493.0,5995486457779.0,3.3083565549415774,20.487973919963036
8802,4729.0,3355.0,40.95380029806259,2708947000000.0,2225.4945674335445,1210073000000.0,227374000000.0,1217233706.0,5756298195673.999,2.124920936317322,18.790106051453094
2802,4405.0,4293.0,2.6088982063824817,819394000000.0,814.8004678456658,1164168000000.0,138803000000.0,1005637616.0,4429833698480.0,5.406231554636719,11.922935521333692
