Code,LatestOP,OldestOP,NumPeriods,GrowthCount,IsGrowthA,IsGrowthB,CAGR,IsGrowthC,MarketCap,Price,Date,TheoreticalValue,ValuationGap,MarketCap_to_OP
90220,696763000000.0,583929000000.0,5,3,False,True,0.045156339116765754,True,960640800000.0,4220.0,2026-03-13,6967630000000.0,6.253106468099211,1.3787195933193928
94340,884144000000.0,821861000000.0,5,3,False,True,0.01842993917343927,True,1673148828000.0,213.2,2026-03-13,8841440000000.0,4.284311743246787,1.8923940308366058
19250,363589000000.0,357224000000.0,5,3,False,True,0.00442502986451454,True,792480000000.0,5200.0,2026-03-13,3635890000000.0,3.587989602261256,2.1796038934071165
72030,3196722000000.0,3679491000000.0,5,3,False,True,-0.034551124084277074,False,7651820900000.0,3370.0,2026-03-13,31967220000000.0,3.1777271603416644,2.39364602239419
29140,867038000000.0,323461000000.0,5,3,False,True,0.27954054428247366,True,2104275060000.0,5711.0,2026-03-13,8670380000000.0,3.1203643785998203,2.4269698213919115
19280,341402000000.0,331366000000.0,5,3,False,True,0.007487180787884684,True,856909980000.0,3543.0,2026-03-13,3414020000000.0,2.9841057750313515,2.50997352095184
95030,387777000000.0,468877000000.0,5,2,False,True,-0.04636808035450124,False,1050625095000.0,2584.5,2026-03-13,3877770000000.0,2.6909169773828787,2.7093538167555065
90200,349614000000.0,352553000000.0,5,3,False,True,-0.0020906307843048255,False,1000986210000.0,3721.0,2026-03-13,3496140000000.0,2.492695468801713,2.86311821036915
46890,284198000000.0,172659000000.0,5,3,False,True,0.13268186969050944,True,871177978000.0,398.2,2026-03-13,2841980000000.0,2.262226630802185,3.0653909527864376
63260,265470000000.0,315636000000.0,5,3,False,True,-0.04234908114066582,False,820335325000.0,2682.5,2026-03-13,2654700000000.0,2.2361156701376963,3.090124402003993
77510,455390000000.0,96517000000.0,5,3,False,False,0.4738216055635074,True,1425370880000.0,4408.0,2026-03-13,4553900000000.0,2.1948877754539224,3.1300003952655966
94320,1457145000000.0,1399233000000.0,5,3,False,True,0.010190273908149194,True,4737534347000.0,154.7,2026-03-13,14571450000000.0,2.0757455107902776,3.2512442804250776
45190,598833000000.0,542002000000.0,5,3,False,True,0.02524157468840138,True,1976692680000.0,9362.0,2026-03-13,5988330000000.0,2.0294694064430896,3.300908066188737
25030,209677000000.0,125340000000.0,5,3,False,True,0.13727443314848342,True,761371220000.0,2602.0,2026-03-13,2096770000000.0,1.7539391362862389,3.6311623115553924
80150,403201000000.0,371210000000.0,5,3,False,True,0.020881851605966784,True,1632988160000.0,6304.0,2026-03-13,4032010000000.0,1.4690993472971658,4.0500597964786795
45030,333880000000.0,-22481000000.0,5,4,True,True,,False,1401007105000.0,2361.5,2026-03-13,3338800000000.0,1.383142803547738,4.196139645980592
45780,479375000000.0,323564000000.0,5,3,False,True,0.10326234679098056,True,2023489350000.0,11005.0,2026-03-13,4793750000000.0,1.369051262859377,4.221099035202086
50200,270785000000.0,302455000000.0,5,2,False,True,-0.027273027038335562,False,1187648440000.0,1364.0,2026-03-13,2707850000000.0,1.2800097308257317,4.385946193474528
72590,156338000000.0,115987000000.0,5,3,False,True,0.07749139141149564,True,685784480000.0,2356.0,2026-03-13,1563380000000.0,1.2796958018064217,4.386550166945976
90210,197135000000.0,175344000000.0,5,3,False,True,0.02971776860139963,True,869268250000.0,3271.0,2026-03-13,1971350000000.0,1.2678269912653546,4.409507444137266
40910,146111000000.0,165906000000.0,5,1,False,False,-0.03126452213911157,False,661817520000.0,5772.0,2026-03-13,1461110000000.0,1.2077233615695153,4.529553011066929
94330,577156000000.0,573086000000.0,5,3,False,False,0.0017707662594690365,True,2625867440000.0,2632.0,2026-03-13,5771560000000.0,1.1979631995436906,4.549666710560056
86010,147785000000.0,36177000000.0,5,2,False,False,0.42167213581965823,True,678056730000.0,1436.5,2026-03-13,1477850000000.0,1.1795373965243292,4.588129580133302
51080,381237000000.0,443319000000.0,5,3,False,True,-0.03701466240174445,False,1942832500000.0,3350.0,2026-03-13,3812370000000.0,0.9622741538449661,5.096127867966645
67580,1283970000000.0,1203514000000.0,5,3,False,True,0.016309376668762754,True,6573000980000.0,3458.0,2026-03-13,12839700000000.0,0.9533999826058143,5.119279251072844
51010,152901000000.0,119157000000.0,5,3,False,True,0.06432114720772941,True,796445700000.0,6135.0,2026-03-13,1529010000000.0,0.9197918954173524,5.2088979143367276
36590,124012000000.0,74370000000.0,5,3,False,True,0.13636142453667444,True,659718360000.0,3012.0,2026-03-13,1240120000000.0,0.8797718468832669,5.319794536012644
45020,422382000000.0,417518000000.0,5,2,False,True,0.0028998115214118325,True,2331205890000.0,5673.0,2026-03-13,4223820000000.0,0.8118605559974799,5.519188530761254
16050,1135440000000.0,1271789000000.0,5,3,False,True,-0.027952961730811632,False,6298677810000.0,4383.0,2026-03-13,11354400000000.0,0.8026640419634355,5.547345355104629
52010,127465000000.0,125835000000.0,5,3,False,True,0.0032227549802612554,True,715107800000.0,5830.0,2026-03-13,1274650000000.0,0.7824585328254006,5.61022869022869
33820,325073000000.0,420991000000.0,5,2,False,True,-0.06259552608739882,False,1899313780000.0,2041.0,2026-03-13,3250730000000.0,0.7115286764254404,5.842730032946446
72690,429103000000.0,479720000000.0,5,3,False,True,-0.02749144270510706,False,2523823995000.0,1963.5,2026-03-13,4291030000000.0,0.7002096851844853,5.881627476386789
44520,164069000000.0,146644000000.0,5,3,False,True,0.028467466426339794,True,997288840000.0,6166.0,2026-03-13,1640690000000.0,0.645150265594068,6.078472106247981
45070,148739000000.0,156603000000.0,5,2,False,False,-0.01279761714948513,False,908396230000.0,3409.0,2026-03-13,1487390000000.0,0.6373801991670529,6.1073170452941055
92020,180714000000.0,171160000000.0,5,3,False,True,0.013671836232943546,True,1140624695000.0,2936.5,2026-03-13,1807140000000.0,0.5843423414570206,6.311767184612149
85910,366284000000.0,290724000000.0,5,3,False,True,0.059459271056276464,True,2349151480000.0,4778.0,2026-03-13,3662840000000.0,0.5592183097532731,6.413470094243811
80010,526438000000.0,170735000000.0,5,2,False,False,0.32512292636304796,True,3488806600000.0,2071.0,2026-03-13,5264380000000.0,0.5089343158202005,6.627193705621555
95310,138257000000.0,72954000000.0,5,3,False,True,0.1733011735058949,True,921456000000.0,7584.0,2026-03-13,1382570000000.0,0.5004189022590335,6.66480539864166
69020,375879000000.0,401560000000.0,5,3,False,True,-0.01638667315638509,False,2648000625000.0,1937.5,2026-03-13,3758790000000.0,0.41948229336237414,7.044821937378784
