Code,EntryDate,EntryPrice,ExitDate,ExitPrice,Return
95070,2024-04-01,1205.5,2025-03-31,1157.5,-0.03981750311074243
80600,2024-04-01,4497.0,2025-03-31,5101.0,0.13431176339782078
30500,2024-04-01,1485.0,2025-03-31,1391.0,-0.0632996632996633
80780,2024-04-01,5910.0,2025-03-31,4890.0,-0.17258883248730963
82790,2024-04-01,9145.0,2025-03-31,9189.0,0.004811372334609076
75160,2024-04-01,4435.0,2025-03-31,3740.0,-0.15670800450958286
62690,2024-04-01,3080.0,2025-03-31,4120.0,0.33766233766233766
90650,2024-04-01,5219.0,2025-03-31,6132.0,0.17493772753401035
23840,2024-04-01,2650.0,2025-03-31,2830.0,0.06792452830188679
23270,2024-04-01,4985.0,2025-03-31,3834.0,-0.2308926780341023
53930,2024-04-01,4100.0,2025-03-31,4615.0,0.12560975609756098
74510,2024-04-01,5680.0,2025-03-31,4905.0,-0.136443661971831
64570,2024-04-01,2860.0,2025-03-31,2626.0,-0.08181818181818182
72420,2024-04-01,5200.0,2025-03-31,2939.0,-0.4348076923076923
90690,2024-04-01,1156.0,2025-03-31,1508.0,0.3044982698961938
80200,2024-04-01,2593.0,2025-03-31,2518.0,-0.028924026224450443
63950,2024-04-01,1300.5,2025-03-31,1072.0,-0.17570165321030373
98300,2024-04-01,2584.0,2025-03-31,1986.0,-0.23142414860681115
54400,2024-04-01,2425.0,2025-03-31,1881.0,-0.2243298969072165
