Code,FCF,CashEq,EquityRatio,MarketCap,CapGroup,TheoreticalValue,ValuationGap,CashRatio,FCFYield
23840,63974000000.0,20439000000.0,0.36486167010713505,26279800000.0,Mid,660179000000.0,24.121157695264042,0.7777456449440254,2.434341205032002
59010,145171000000.0,110007000000.0,0.57823845408055,76494000000.0,Mid,1561717000000.0,19.416202577979973,1.4381127931602478,1.8978089784819725
38800,65550000000.0,112872000000.0,0.2818221216026797,39495680000.0,Mid,768372000000.0,18.45458338734768,2.857831540057039,1.659675184729064
81940,76331000000.0,36158000000.0,0.4263084851538536,41143310000.0,Mid,799468000000.0,18.4313000096492,0.8788306045381375,1.8552469405111063
69600,50072000000.0,67348000000.0,0.8207626027353934,30591500000.0,Mid,568068000000.0,17.569471912132457,2.201526567837471,1.6367945344294983
69950,65484000000.0,74609000000.0,0.6612824939034176,41916000000.0,Mid,729449000000.0,16.402638610554444,1.7799646912873366,1.5622673919267105
96270,54436000000.0,52849000000.0,0.28273564866908035,37469380000.0,Mid,597209000000.0,14.93858772149419,1.4104583529271102,1.452812936856708
72410,47975000000.0,13281000000.0,0.3923539324589934,33556410000.0,Mid,493031000000.0,13.692602694984355,0.3957813127208781,1.4296821382263478
72830,48350000000.0,84131000000.0,0.46626708573934655,40390800000.0,Mid,567631000000.0,13.05347257296216,2.082924824464977,1.1970547748497182
99560,46141000000.0,27346000000.0,0.4063113755583363,34982300000.0,Mid,488756000000.0,12.971522741500701,0.7817096074300431,1.3189813134070658
54820,78351000000.0,55667000000.0,0.569622124562738,62638200000.0,Mid,839177000000.0,12.397208093463734,0.8887068913219089,1.2508501202141824
81330,36774000000.0,14333000000.0,0.47287748091515,29126400000.0,Mid,382073000000.0,12.117755713030103,0.49209651724895626,1.2625659195781147
19410,34279000000.0,34435000000.0,0.7812215039128956,29013600000.0,Mid,377225000000.0,12.00166128987785,1.1868571980036948,1.1814804091874156
32220,30245000000.0,38399000000.0,0.5155615348800119,26327520000.0,Mid,340849000000.0,11.94649097218424,1.4585118537560697,1.1487979118428169
58510,36417000000.0,27292000000.0,0.5514438490227909,30935040000.0,Mid,391462000000.0,11.654323382158227,0.8822358076795763,1.177208757447865
30500,40485000000.0,96135000000.0,0.44080737192771424,40005400000.0,Mid,500985000000.0,11.52293440385548,2.403050588170597,1.0119883815684882
82730,59071000000.0,18620000000.0,0.5049580587678739,49162560000.0,Mid,609330000000.0,11.394187772158325,0.378743499118028,1.2015444273040297
32440,71304000000.0,44133000000.0,0.26876198815274205,61546160000.0,Mid,757173000000.0,11.30252220447222,0.7170715443498018,1.1585450660122418
71480,107440000000.0,14321000000.0,0.4507910481881173,88580610000.0,Mid,1088721000000.0,11.290737216643688,0.1616719505544159,1.2129065266089272
45210,49430000000.0,70085000000.0,0.801556542836437,46899400000.0,Mid,564385000000.0,11.033949261611022,1.494368797895069,1.0539580463715954
72400,118875000000.0,136256000000.0,0.6709524254524721,110266660000.0,Mid,1325006000000.0,11.016379202924982,1.2356953588691268,1.0780683844055856
90030,80455000000.0,16008000000.0,0.24044322719685604,69497015000.0,Mid,820558000000.0,10.807097038628205,0.23034082830751795,1.157675621032069
82790,80192000000.0,48498000000.0,0.49422656735937226,74837440000.0,Mid,850418000000.0,10.36353675379596,0.6480446151017458,1.0715492138694216
40950,28293000000.0,52097000000.0,0.8355397567820393,29531140000.0,Mid,335027000000.0,10.344871887776767,1.764137788111126,0.9580734099665641
95360,68508000000.0,28355000000.0,0.24947629831120163,63025000000.0,Mid,713435000000.0,10.319873066243554,0.44990083300277667,1.0869972233240777
92740,27813000000.0,11316000000.0,0.2449074665871291,26231070000.0,Mid,289446000000.0,10.03447171617475,0.43139681301601496,1.0603074903158736
96780,52146000000.0,60592000000.0,0.4858649502604231,53260800000.0,Mid,582052000000.0,9.928337539053112,1.1376472001922615,0.9790690338860851
76130,28796000000.0,29793000000.0,0.4992928000307897,29123710000.0,Mid,317753000000.0,9.910457493224593,1.0229809320309808,0.9887476561193612
24330,95975000000.0,207520000000.0,0.3939112028192967,110772340000.0,Mid,1167270000000.0,9.537558383257048,1.873391859375725,0.8664166523881323
54230,41464000000.0,96111000000.0,0.716509712499104,49391280000.0,Mid,510751000000.0,9.340914428619788,1.945910290237467,0.8395004138382322
38630,106225000000.0,185941000000.0,0.2996727544284416,122953740000.0,Mid,1248191000000.0,9.151712343195092,1.512284213558693,0.8639428129636398
401A0,47688000000.0,718000000.0,0.5204607172956269,47270000000.0,Mid,477598000000.0,9.103617516395177,0.015189337846414215,1.0088428178548763
70040,81342000000.0,68707000000.0,0.324595762269833,88015680000.0,Mid,882127000000.0,9.022384647826387,0.7806222709408142,0.9241762376885573
90370,25187000000.0,21652000000.0,0.639062754788455,27556760000.0,Mid,273522000000.0,8.925767760796262,0.7857237207857527,0.9140044040010509
95330,128261000000.0,45079000000.0,0.5909524029178995,133884350000.0,Mid,1327689000000.0,8.916685557348563,0.33670104086101177,0.9579984516487551
30480,40127000000.0,57984000000.0,0.4299566930812477,46458375000.0,Mid,459254000000.0,8.885279026655581,1.2480849792959827,0.8637194047359599
46340,38716000000.0,45792000000.0,0.5992650237786424,43960400000.0,Mid,432952000000.0,8.848681995614234,1.0416647710211917,0.8807017224593043
80970,24679000000.0,52134000000.0,0.5549545199169797,30447440000.0,Mid,298924000000.0,8.817705527952432,1.712262180334373,0.8105443347618059
45530,33454000000.0,39552000000.0,0.388002520014891,38387400000.0,Mid,374092000000.0,8.745176802805087,1.0303380796823958,0.8714838723122691
91100,19578000000.0,67542000000.0,0.5948923558454688,27360900000.0,Mid,263322000000.0,8.624025525476135,2.4685591482736315,0.7155466377202504
99970,28353000000.0,37651000000.0,0.4253797741441133,33379200000.0,Mid,321181000000.0,8.62218986674336,1.127977902406289,0.8494211964337072
22200,29236000000.0,16240000000.0,0.579251799758645,32228400000.0,Mid,308600000000.0,8.575405542937284,0.5039033895570366,0.9071502153380249
88970,32684000000.0,47008000000.0,0.23920828545964112,39474000000.0,Mid,373848000000.0,8.470740234078127,1.1908598064548817,0.8279880427623245
74190,36904000000.0,98207000000.0,0.41464751454528737,49969920000.0,Mid,467247000000.0,8.350565300084531,1.9653223379184919,0.7385242962166039
54400,21627000000.0,33754000000.0,0.6179208757691649,26852830000.0,Mid,250024000000.0,8.310899447097382,1.2569997277754337,0.8053899719321949
68170,29343000000.0,6129000000.0,0.3993376350393508,32589460000.0,Mid,299559000000.0,8.191898239492154,0.1880669394337924,0.9003831300058363
32960,53192000000.0,22912000000.0,0.47539269250469524,60447270000.0,Mid,554832000000.0,8.178776808282658,0.3790411047512981,0.8799735703531358
90690,60013000000.0,99673000000.0,0.3141697352180178,76442340000.0,Mid,699803000000.0,8.154651728348451,1.3038978136985342,0.7850753914649918
79810,22449000000.0,54932000000.0,0.6872243373320882,30698960000.0,Mid,279422000000.0,8.102002152515915,1.7893765782293602,0.7312625574286555
94090,59024000000.0,39763000000.0,0.8003495616182773,69266400000.0,Mid,630003000000.0,8.095362253560168,0.5740589954148043,0.8521303258145363
49140,28049000000.0,35585000000.0,0.5583848894245806,35247720000.0,Mid,316075000000.0,7.9672466758133575,1.0095688458714493,0.7957677829941908
95050,91431000000.0,85815000000.0,0.23283686776175047,112428050000.0,Mid,1000125000000.0,7.89568928750432,0.7632881651865349,0.8132401122317785
64860,24132000000.0,24890000000.0,0.6021063081126772,29975700000.0,Mid,266210000000.0,7.88086016339902,0.830339241452243,0.8050520921946777
22810,25781000000.0,7528000000.0,0.5150617688603781,29892150000.0,Mid,265338000000.0,7.876511057250816,0.2518386934362366,0.8624672363814581
80320,32227000000.0,19027000000.0,0.3711177511383511,38772240000.0,Mid,341297000000.0,7.802612384530788,0.4907377030576516,0.8311874681473136
26130,22070000000.0,11950000000.0,0.6246209539032933,26752560000.0,Mid,232650000000.0,7.696364011518898,0.4466862236735475,0.824967778784535
72800,25320000000.0,100107000000.0,0.36487536524762976,41483160000.0,Mid,353307000000.0,7.516877692056246,2.4131961017434547,0.6103681590312792
18200,42139000000.0,43403000000.0,0.3060404090222719,54987960000.0,Mid,464793000000.0,7.452632176207301,0.7893182434845737,0.7663313932722727
34680,44810020000.0,13665924000.0,0.49246121312824476,54779200000.0,Mid,461766124000.0,7.4295886759938075,0.24947286561322546,0.8180115810380583
77400,22435000000.0,35371000000.0,0.8101295664145748,31174800000.0,Mid,259721000000.0,7.331120007185291,1.1346023069915445,0.7196517700193746
98300,29748000000.0,47408000000.0,0.6040102607674821,41954990000.0,Mid,344888000000.0,7.220428606942821,1.129972859009143,0.7090455747933678
97150,14569000000.0,73674000000.0,0.613629988827878,26788300000.0,Mid,219364000000.0,7.1887988412851875,2.7502305110813303,0.5438568330203858
59430,21087000000.0,22850000000.0,0.6116296037010952,29123460000.0,Mid,233720000000.0,7.02514536390937,0.7845908418848585,0.7240554522024513
95510,38414000000.0,54930000000.0,0.4410521620932801,54722250000.0,Mid,439070000000.0,7.0236101402994215,1.0037964447733783,0.7019813695526043
82420,59572000000.0,54940000000.0,0.4290491841877949,81605475000.0,Mid,650660000000.0,6.973239540606803,0.6732391423492112,0.7300000398257592
59700,32627000000.0,27653000000.0,0.6455219249250846,44970730000.0,Mid,353923000000.0,6.870074601857697,0.614911076604716,0.7255163525252981
76160,51446000000.0,59600000000.0,0.2727727858083373,73073000000.0,Mid,574060000000.0,6.855979636801554,0.8156227334309526,0.7040356903370601
21240,18343000000.0,15312000000.0,0.7232561903220586,25723890000.0,Mid,198742000000.0,6.725969905795741,0.5952443429045918,0.7130725562891149
81790,32442000000.0,19566000000.0,0.3969648619448638,45130180000.0,Mid,343986000000.0,6.622083492687155,0.4335458001718584,0.7188537692515297
93030,40608000000.0,34723000000.0,0.6201714394359246,57934800000.0,Mid,440803000000.0,6.60860484544695,0.5993461615471185,0.7009258683899833
72310,17364000000.0,26621000000.0,0.48522631685424367,26349400000.0,Mid,200261000000.0,6.600211010497393,1.010307635088465,0.6589903375408928
80120,72542000000.0,42083000000.0,0.48385518477283135,101465250000.0,Mid,767503000000.0,6.564195623624837,0.4147528340983736,0.7149442789526463
60800,35633000000.0,16243000000.0,0.7760565148010686,49708000000.0,Mid,372573000000.0,6.495232155789813,0.32676832702985437,0.7168463828759958
18790,37088000000.0,48653000000.0,0.707199602206367,56298900000.0,Mid,419533000000.0,6.451886271312583,0.8641909522210913,0.6587695319091492
97220,21607000000.0,12245000000.0,0.3725236254730154,30802740000.0,Mid,228315000000.0,6.412165281400291,0.39752957042133263,0.7014635710978958
64570,53663000000.0,51468000000.0,0.5345054397663335,79520000000.0,Mid,588098000000.0,6.395598591549295,0.6472334004024145,0.6748365191146881
18240,73753000000.0,98976000000.0,0.395662990949403,113247030000.0,Mid,836506000000.0,6.3865601596792425,0.8739831852543948,0.6512576974424849
26590,27125000000.0,74011000000.0,0.7348075951399415,47220890000.0,Mid,345261000000.0,6.311615685346041,1.567335982019822,0.5744279703326218
79150,24185000000.0,39213000000.0,0.4712617943387174,39016410000.0,Mid,281063000000.0,6.203712489180835,1.005038649122254,0.6198673840058581
63320,17029000000.0,27465000000.0,0.5828617202779743,28230000000.0,Mid,197755000000.0,6.005136379737867,0.9729011689691818,0.6032235210768686
429A0,65121000000.0,34095000000.0,0.7630507253737684,98475300000.0,Mid,685305000000.0,5.959156255426488,0.34622895284401267,0.6612927302582475
