code,disclosed_date,fiscal_quarter,current_profit,previous_year_profit,recent_4q_abs_sum,custom_growth_rate,return_1M,return_3M,return_6M,growth_quartile,market_cap,estimated_shares,stock_price,marketcap_quartile
13010,2017-11-06,2Q,2396000000.0,1103000000.0,10035000000.0,0.1288490284005979,0.0181818181818181,0.009090909090909,-0.0012987012987012,Q4 (高成長),41106665433.18377,10677055.95667111,3850.0,Q3
13010,2018-02-09,3Q,4065000000.0,2827000000.0,11273000000.0,0.1098199237115231,0.0301837270341207,0.0013123359580052,-0.1351706036745406,Q4 (高成長),40679583194.91692,10677055.95667111,3810.0,Q3
13010,2018-05-10,FY,4437000000.0,3709000000.0,12001000000.0,0.0606616115323723,-0.0157273918741808,-0.1310615989515072,-0.1965923984272608,Q3,41643167226.57708,10915640.164240388,3815.0,Q3
13010,2018-08-03,1Q,737000000.0,1103000000.0,11635000000.0,-0.0314568113450795,-0.0444785276073619,-0.0720858895705521,-0.108282208588957,Q2,35584986935.42367,10915640.164240388,3260.0,Q3
13010,2018-11-05,2Q,1332000000.0,2396000000.0,10571000000.0,-0.1006527291646958,0.0694214876033057,-0.0390082644628099,-0.0674380165289256,Q1 (低成長),33019811496.827175,10915640.164240388,3025.0,Q3
13010,2019-02-08,3Q,3923000000.0,4065000000.0,10429000000.0,-0.0136158787995013,0.0714285714285714,0.0138592750533049,0.0167022032693674,Q2,30716611422.17245,10915640.164240388,2814.0,Q3
13010,2019-05-13,FY,4434000000.0,4437000000.0,10426000000.0,-0.000287742183004,-0.0269203158650394,0.070710696338837,0.0506101938262742,Q2,30307030320.3389,10878331.055398026,2786.0,Q3
13010,2019-08-02,1Q,1015000000.0,737000000.0,10704000000.0,0.0259715994020926,-0.0530679933665008,-0.0102819237147595,-0.0437810945273631,Q3,32798168132.02505,10878331.055398026,3015.0,Q3
13010,2019-11-05,2Q,1128000000.0,1332000000.0,10500000000.0,-0.0194285714285714,-0.0353059852051109,-0.0289172831203765,-0.0968392737054472,Q2,32352156558.75373,10878331.055398026,2974.0,Q3
13010,2020-02-07,3Q,2979000000.0,3923000000.0,9556000000.0,-0.0987861029719548,-0.1253462603878116,-0.0699445983379501,-0.0702908587257617,Q1 (低成長),31416620087.989502,10878331.055398026,2888.0,Q3
13010,2020-05-12,FY,3608000000.0,4434000000.0,8730000000.0,-0.0946162657502863,0.0566615620214395,0.034073506891271,0.0773353751914242,Q1 (低成長),27946700544.27396,10699349.366107948,2612.0,Q3
